ID,Dairy,DIMd0,TRT,D0month,Season,Lact,Parity,CalvDif,Dyst,CalfInfo,RFM,BCS5,BCS5C,VLS,VLSC,Fevd0,Tempd0,Milkincrease5DIM,Milkincrease7DIM,Milkincrease9DIM,Daystocure,DIMcure,Cured
55,0,5,1,2,0,2,2,3.0,1,1,0,3.0,0,1,0,0,39.3,.,.,.,.,.,0
150,0,9,1,2,0,2,2,1.0,0,2,0,2.75,0,0,0,0,39.2,.,.,.,.,.,0
160,0,5,1,3,0,2,2,1.0,0,1,0,3.5,1,1,0,1,39.6,.,.,.,.,.,0
193,0,7,0,2,0,2,2,1.0,0,2,0,3.25,1,1,0,0,39.1,.,.,.,.,.,0
249,0,7,0,5,0,2,2,2.0,1,1,0,3.25,1,0,0,0,39.2,.,.,.,6.0,13.0,1
306,0,11,0,3,0,2,2,1.0,0,1,0,2.75,0,0,0,0,39.2,.,.,.,12.0,23.0,1
433,0,8,0,3,0,2,2,2.0,1,2,0,3.5,1,0,0,0,39.2,.,.,.,3.0,11.0,1
448,0,8,0,4,0,2,2,1.0,0,2,0,3.0,0,0,0,0,38.9,.,.,.,6.0,14.0,1
453,0,5,0,3,0,2,2,1.0,0,2,0,3.5,1,1,0,0,38.9,.,.,.,9.0,14.0,1
456,0,9,0,3,0,2,2,1.0,0,1,0,3.25,1,0,0,0,38.5,.,.,.,3.0,12.0,1
464,0,6,1,2,0,2,2,1.0,0,2,0,3.25,1,1,0,0,39.1,.,.,.,12.0,18.0,1
482,0,6,0,4,0,2,2,1.0,0,1,0,2.5,0,0,0,1,39.5,.,.,.,3.0,9.0,1
531,0,12,0,4,0,2,2,1.0,0,1,0,2.75,0,0,0,0,38.7,.,.,.,6.0,18.0,1
560,0,2,1,5,0,2,2,2.0,1,1,1,3.25,1,1,0,0,38.9,.,.,.,.,.,0
710,0,2,0,5,0,2,2,3.0,1,2,1,3.0,0,1,0,1,39.8,.,.,.,.,.,0
720,0,5,1,3,0,2,2,.,0,4,0,3.25,1,0,0,1,39.6,.,.,.,.,.,0
729,0,7,1,3,0,2,2,1.0,0,1,0,3.25,1,0,0,0,38.9,.,.,.,6.0,13.0,1
733,0,5,0,3,0,2,2,.,0,4,0,3.0,0,2,1,1,39.6,.,.,.,.,.,0
756,0,5,1,4,0,2,2,2.0,1,1,1,3.25,1,1,0,1,39.5,.,.,.,.,.,0
758,0,5,0,4,0,2,2,2.0,1,1,0,3.25,1,1,0,0,39.3,.,.,.,.,.,0
797,0,7,0,4,0,2,2,2.0,1,2,0,3.75,2,0,0,0,39.1,.,.,.,.,.,0
800,0,5,1,3,0,2,2,1.0,0,1,0,3.25,1,0,0,0,39.4,.,.,.,12.0,17.0,1
888,0,4,1,5,0,2,2,1.0,0,2,0,3.0,0,0,0,1,40.3,.,.,.,6.0,10.0,1
903,0,14,0,3,0,2,2,1.0,0,1,0,3.25,1,0,0,0,39.1,.,.,.,3.0,17.0,1
